Year,EmployVUnemploy
1947,Employed
1948,Employed
1949,Employed
1950,Employed
1951,Employed
1952,Employed
1953,Employed
1954,Employed
1955,Employed
1956,Employed
1957,Employed
1958,Employed
1959,Employed
1960,Employed
1961,Employed
1962,Employed
1947,Unemployed
1948,Unemployed
1949,Unemployed
1950,Unemployed
1951,Unemployed
1952,Unemployed
1953,Unemployed
1954,Unemployed
1955,Unemployed
1956,Unemployed
1957,Unemployed
1958,Unemployed
1959,Unemployed
1960,Unemployed
1961,Unemployed
1962,Unemployed
