youtubeH,walking,gamingH,date
3.37,3587,2.32,1/5/21
4.42,5559,2.23,1/6/21
5.25,3198,2.21,1/7/21
4.55,2819,1.45,1/8/21
3.34,1777,0.45,1/9/21
3.41,4563,1.27,1/10/21
3.23,3144,2.46,1/11/21
1.45,3551,0.36,1/12/21
2.43,7754,0.54,1/13/21
3.44,5487,4.22,1/14/21
2.24,4431,1.42,1/15/21
1.47,4978,1.36,1/16/21
2.18,3350,0.42,1/17/21
1.51,2612,2.04,1/18/21
1.21,4048,0,1/19/21
2.11,3333,4.09,1/20/21
2.06,3045,1.59,1/21/21
3.36,3171,1.39,1/22/21
2.58,3290,1.09,1/23/21
2.27,2318,0.42,1/24/21
2.15,1346,0.54,1/25/21
2.29,1443,1.56,1/26/21
1.28,1376,1.47,1/27/21
1.18,1115,1.58,1/28/21
1.32,1220,1.25,1/29/21
2.29,1459,0.23,1/30/21
1.36,1294,0.55,1/31/21
1.49,1061,0.22,2/1/21
2.18,1140,1.08,2/2/21
3.25,983,1.38,2/3/21
2.53,0,0.33,2/4/21
